Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena
Oct 18 2022,7:30p,Philadelphia 76ers,117,Boston Celtics,126,Box Score,,19156,TD Garden
Oct 18 2022,10:00p,Los Angeles Lakers,109,Golden State Warriors,123,Box Score,,18064,Chase Center
Oct 19 2022,7:00p,Orlando Magic,109,Detroit Pistons,113,Box Score,,20190,Little Caesars Arena
Oct 19 2022,7:00p,Washington Wizards,114,Indiana Pacers,107,Box Score,,15027,Gainbridge Fieldhouse
Oct 19 2022,7:30p,Houston Rockets,107,Atlanta Hawks,117,Box Score,,17878,State Farm Arena
Oct 19 2022,7:30p,New Orleans Pelicans,130,Brooklyn Nets,108,Box Score,,18003,Barclays Center
Oct 19 2022,7:30p,New York Knicks,112,Memphis Grizzlies,115,Box Score,OT,18202,FedEx Forum
Oct 19 2022,7:30p,Chicago Bulls,116,Miami Heat,108,Box Score,,19600,FTX Arena
Oct 19 2022,7:30p,Cleveland Cavaliers,105,Toronto Raptors,108,Box Score,,19800,Scotiabank Arena
Oct 19 2022,8:00p,Oklahoma City Thunder,108,Minnesota Timberwolves,115,Box Score,,17136,Target Center
Oct 19 2022,8:00p,Charlotte Hornets,129,San Antonio Spurs,102,Box Score,,16236,AT&T Center
Oct 19 2022,9:00p,Denver Nuggets,102,Utah Jazz,123,Box Score,,18206,Vivint Arena
Oct 19 2022,10:00p,Dallas Mavericks,105,Phoenix Suns,107,Box Score,,17071,Footprint Center
Oct 19 2022,10:00p,Portland Trail Blazers,115,Sacramento Kings,108,Box Score,,17611,Golden 1 Center
Oct 20 2022,7:30p,Milwaukee Bucks,90,Philadelphia 76ers,88,Box Score,,20060,Wells Fargo Center
Oct 20 2022,10:00p,Los Angeles Clippers,103,Los Angeles Lakers,97,Box Score,,18997,Crypto.com Arena
Oct 21 2022,7:00p,New Orleans Pelicans,124,Charlotte Hornets,112,Box Score,,19287,Spectrum Center
Oct 21 2022,7:00p,San Antonio Spurs,137,Indiana Pacers,134,Box Score,,12073,Gainbridge Fieldhouse
Oct 21 2022,7:00p,Chicago Bulls,100,Washington Wizards,102,Box Score,,20476,Capital One Arena
Oct 21 2022,7:30p,Orlando Magic,98,Atlanta Hawks,108,Box Score,,17822,State Farm Arena
